smiles,Result0,Result1,desc0,desc1
O=CO,-1.098,-1.098,298.15,1.0
Cc1ccccc1,-0.18,,300.15,0.5
CCCCCCC(=O)O,,0.5778,310.15,1.5
CCC(=O)O,-0.5397,-0.5397,298.15,1.0
CCCCCCCCCC[N+](C)(C)[O-],1.995,1.995,320.15,2.0
CCCCCC(=O)O,,0.2984,305.15,0.8
CCCCCCCCC(=O)O,1.136,1.136,315.15,1.2
O=CO,-1.098,,298.15,1.0
CCCCCCCCC(=O)O,1.136,1.136,315.15,1.2
CCCCCCCC(=O)O,0.857,0.857,312.15,1.1
CCCCCCCCCC[N+](C)(C)[O-],1.995,,320.15,2.0
CCCCC(=O)O,0.01894,0.01894,308.15,0.9
CCCCCCC(=O)O,0.5778,0.5778,310.15,1.5
C/C=C/C(=O)O,-0.3005,-0.3005,298.15,1.0
CCCCCCCC(=O)O,0.857,,312.15,1.1
C=CC(=O)O,-0.5799,-0.5799,298.15,1.0
CCCCCC(=O)O,,0.2984,305.15,0.8
CCC(=O)O,-0.5397,-0.5397,298.15,1.0
CCCC(=O)O,,-0.2604,308.15,0.9
C=CC(=O)O,-0.5799,-0.5799,298.15,1.0
CCCCC(=O)O,0.01894,,308.15,0.9
C/C=C/C(=O)O,-0.3005,-0.3005,298.15,1.0
CCCC(=O)O,,-0.2604,308.15,0.9
